date,value
01-Jan-59,0.06
01-Feb-59,0.09
01-Mar-59,0.2
01-Apr-59,0.17
01-May-59,0.06
01-Jun-59,0.02
01-Jul-59,0.06
01-Aug-59,-0.01
01-Sep-59,-0.06
01-Oct-59,-0.08
01-Nov-59,-0.09
01-Dec-59,-0.03
01-Jan-60,-0.01
01-Feb-60,0.14
01-Mar-60,-0.36
01-Apr-60,-0.16
01-May-60,-0.08
01-Jun-60,0.01
01-Jul-60,-0.02
01-Aug-60,0
01-Sep-60,0.05
01-Oct-60,0.07
01-Nov-60,-0.12
01-Dec-60,0.18
01-Jan-61,0.07
01-Feb-61,0.18
01-Mar-61,0.09
01-Apr-61,0.15
01-May-61,0.13
01-Jun-61,0.12
01-Jul-61,-0.03
01-Aug-61,0.02
01-Sep-61,0.05
01-Oct-61,0
01-Nov-61,0.03
01-Dec-61,-0.15
01-Jan-62,0.07
01-Feb-62,0.14
01-Mar-62,0.12
01-Apr-62,0.05
01-May-62,-0.06
01-Jun-62,0.06
01-Jul-62,-0.02
01-Aug-62,-0.02
01-Sep-62,-0.01
01-Oct-62,-0.03
01-Nov-62,0.06
01-Dec-62,-0.01
01-Jan-63,-0.03
01-Feb-63,0.19
01-Mar-63,-0.13
01-Apr-63,-0.05
01-May-63,-0.09
01-Jun-63,0.03
01-Jul-63,0.08
01-Aug-63,0.25
01-Sep-63,0.2
01-Oct-63,0.15
01-Nov-63,0.15
01-Dec-63,0
01-Jan-64,-0.06
01-Feb-64,-0.12
01-Mar-64,-0.22
01-Apr-64,-0.3
01-May-64,-0.25
01-Jun-64,-0.07
01-Jul-64,-0.07
01-Aug-64,-0.21
01-Sep-64,-0.29
01-Oct-64,-0.3
01-Nov-64,-0.21
01-Dec-64,-0.3
01-Jan-65,-0.09
01-Feb-65,-0.17
01-Mar-65,-0.11
01-Apr-65,-0.2
01-May-65,-0.14
01-Jun-65,-0.08
01-Jul-65,-0.12
01-Aug-65,-0.01
01-Sep-65,-0.15
01-Oct-65,-0.04
01-Nov-65,-0.06
01-Dec-65,-0.05
01-Jan-66,-0.16
01-Feb-66,0
01-Mar-66,0.04
01-Apr-66,-0.14
01-May-66,-0.1
01-Jun-66,0.01
01-Jul-66,0.08
01-Aug-66,-0.1
01-Sep-66,-0.01
01-Oct-66,-0.15
01-Nov-66,-0.02
01-Dec-66,-0.06
01-Jan-67,-0.06
01-Feb-67,-0.2
01-Mar-67,0.03
01-Apr-67,-0.05
01-May-67,0.14
01-Jun-67,-0.08
01-Jul-67,0.01
01-Aug-67,0.02
01-Sep-67,-0.04
01-Oct-67,0.07
01-Nov-67,-0.06
01-Dec-67,-0.02
01-Jan-68,-0.23
01-Feb-68,-0.15
01-Mar-68,0.21
01-Apr-68,-0.05
01-May-68,-0.1
01-Jun-68,-0.06
01-Jul-68,-0.11
01-Aug-68,-0.11
01-Sep-68,-0.18
01-Oct-68,0.12
01-Nov-68,-0.04
01-Dec-68,-0.14
01-Jan-69,-0.11
01-Feb-69,-0.14
01-Mar-69,0
01-Apr-69,0.19
01-May-69,0.2
01-Jun-69,0.05
01-Jul-69,-0.01
01-Aug-69,0.03
01-Sep-69,0.1
01-Oct-69,0.11
01-Nov-69,0.12
01-Dec-69,0.27
01-Jan-70,0.09
01-Feb-70,0.22
01-Mar-70,0.08
01-Apr-70,0.09
01-May-70,-0.05
01-Jun-70,-0.03
01-Jul-70,-0.04
01-Aug-70,-0.11
01-Sep-70,0.11
01-Oct-70,0.04
01-Nov-70,0.01
01-Dec-70,-0.13
01-Jan-71,-0.02
01-Feb-71,-0.2
01-Mar-71,-0.18
01-Apr-71,-0.09
01-May-71,-0.06
01-Jun-71,-0.18
01-Jul-71,-0.12
01-Aug-71,-0.03
01-Sep-71,-0.01
01-Oct-71,-0.06
01-Nov-71,-0.04
01-Dec-71,-0.08
01-Jan-72,-0.24
01-Feb-72,-0.17
01-Mar-72,0.02
01-Apr-72,-0.01
01-May-72,-0.03
01-Jun-72,0.04
01-Jul-72,0.02
01-Aug-72,0.18
01-Sep-72,0.03
01-Oct-72,0.09
01-Nov-72,0.03
01-Dec-72,0.18
01-Jan-73,0.28
01-Feb-73,0.3
01-Mar-73,0.26
01-Apr-73,0.25
01-May-73,0.26
01-Jun-73,0.16
01-Jul-73,0.09
01-Aug-73,0.02
01-Sep-73,0.06
01-Oct-73,0.12
01-Nov-73,0.06
01-Dec-73,-0.06
01-Jan-74,-0.14
01-Feb-74,-0.28
01-Mar-74,-0.05
01-Apr-74,-0.1
01-May-74,-0.01
01-Jun-74,-0.05
01-Jul-74,-0.03
01-Aug-74,0.12
01-Sep-74,-0.12
01-Oct-74,-0.07
01-Nov-74,-0.07
01-Dec-74,-0.09
01-Jan-75,0.08
01-Feb-75,0.07
01-Mar-75,0.14
01-Apr-75,0.06
01-May-75,0.16
01-Jun-75,-0.02
01-Jul-75,-0.03
01-Aug-75,-0.19
01-Sep-75,-0.03
01-Oct-75,-0.09
01-Nov-75,-0.16
01-Dec-75,-0.17
01-Jan-76,0
01-Feb-76,-0.06
01-Mar-76,-0.21
01-Apr-76,-0.1
01-May-76,-0.23
01-Jun-76,-0.15
01-Jul-76,-0.12
01-Aug-76,-0.18
01-Sep-76,-0.09
01-Oct-76,-0.26
01-Nov-76,-0.06
01-Dec-76,0.09
01-Jan-77,0.18
01-Feb-77,0.2
01-Mar-77,0.25
01-Apr-77,0.27
01-May-77,0.3
01-Jun-77,0.25
01-Jul-77,0.23
01-Aug-77,0.19
01-Sep-77,0.02
01-Oct-77,0.04
01-Nov-77,0.2
01-Dec-77,0.05
01-Jan-78,0.08
01-Feb-78,0.14
01-Mar-78,0.21
01-Apr-78,0.15
01-May-78,0.07
01-Jun-78,-0.03
01-Jul-78,0.07
01-Aug-78,-0.18
01-Sep-78,0.05
01-Oct-78,0
01-Nov-78,0.17
01-Dec-78,0.11
01-Jan-79,0.14
01-Feb-79,-0.09
01-Mar-79,0.19
01-Apr-79,0.13
01-May-79,0.06
01-Jun-79,0.14
01-Jul-79,0.02
01-Aug-79,0.14
01-Sep-79,0.27
01-Oct-79,0.25
01-Nov-79,0.29
01-Dec-79,0.47
01-Jan-80,0.3
01-Feb-80,0.42
01-Mar-80,0.29
01-Apr-80,0.32
01-May-80,0.34
01-Jun-80,0.16
01-Jul-80,0.28
01-Aug-80,0.24
01-Sep-80,0.21
01-Oct-80,0.2
01-Nov-80,0.29
01-Dec-80,0.21
01-Jan-81,0.56
01-Feb-81,0.41
01-Mar-81,0.48
01-Apr-81,0.31
01-May-81,0.25
01-Jun-81,0.31
01-Jul-81,0.35
01-Aug-81,0.35
01-Sep-81,0.17
01-Oct-81,0.14
01-Nov-81,0.22
01-Dec-81,0.41
01-Jan-82,0.09
01-Feb-82,0.14
01-Mar-82,-0.01
01-Apr-82,0.1
01-May-82,0.16
01-Jun-82,0.05
01-Jul-82,0.13
01-Aug-82,0.08
01-Sep-82,0.15
01-Oct-82,0.13
01-Nov-82,0.14
01-Dec-82,0.43
01-Jan-83,0.52
01-Feb-83,0.4
01-Mar-83,0.43
01-Apr-83,0.31
01-May-83,0.35
01-Jun-83,0.18
01-Jul-83,0.15
01-Aug-83,0.3
01-Sep-83,0.38
01-Oct-83,0.15
01-Nov-83,0.3
01-Dec-83,0.17
01-Jan-84,0.3
01-Feb-84,0.18
01-Mar-84,0.29
01-Apr-84,0.08
01-May-84,0.33
01-Jun-84,0.04
01-Jul-84,0.16
01-Aug-84,0.15
01-Sep-84,0.2
01-Oct-84,0.15
01-Nov-84,0.05
01-Dec-84,-0.06
01-Jan-85,0.21
01-Feb-85,-0.07
01-Mar-85,0.17
01-Apr-85,0.11
01-May-85,0.17
01-Jun-85,0.17
01-Jul-85,-0.01
01-Aug-85,0.15
01-Sep-85,0.15
01-Oct-85,0.11
01-Nov-85,0.09
01-Dec-85,0.15
01-Jan-86,0.3
01-Feb-86,0.4
01-Mar-86,0.29
01-Apr-86,0.26
01-May-86,0.27
01-Jun-86,0.12
01-Jul-86,0.13
01-Aug-86,0.12
01-Sep-86,0.02
01-Oct-86,0.14
01-Nov-86,0.11
01-Dec-86,0.16
01-Jan-87,0.36
01-Feb-87,0.46
01-Mar-87,0.17
01-Apr-87,0.24
01-May-87,0.26
01-Jun-87,0.36
01-Jul-87,0.45
01-Aug-87,0.28
01-Sep-87,0.39
01-Oct-87,0.32
01-Nov-87,0.25
01-Dec-87,0.48
01-Jan-88,0.57
01-Feb-88,0.42
01-Mar-88,0.49
01-Apr-88,0.45
01-May-88,0.44
01-Jun-88,0.42
01-Jul-88,0.35
01-Aug-88,0.46
01-Sep-88,0.41
01-Oct-88,0.39
01-Nov-88,0.12
01-Dec-88,0.34
01-Jan-89,0.15
01-Feb-89,0.35
01-Mar-89,0.36
01-Apr-89,0.33
01-May-89,0.17
01-Jun-89,0.14
01-Jul-89,0.33
01-Aug-89,0.35
01-Sep-89,0.36
01-Oct-89,0.32
01-Nov-89,0.21
01-Dec-89,0.37
01-Jan-90,0.4
01-Feb-90,0.41
01-Mar-90,0.76
01-Apr-90,0.55
01-May-90,0.46
01-Jun-90,0.38
01-Jul-90,0.43
01-Aug-90,0.3
01-Sep-90,0.3
01-Oct-90,0.43
01-Nov-90,0.46
01-Dec-90,0.42
01-Jan-91,0.42
01-Feb-91,0.5
01-Mar-91,0.36
01-Apr-91,0.52
01-May-91,0.39
01-Jun-91,0.54
01-Jul-91,0.51
01-Aug-91,0.42
01-Sep-91,0.5
01-Oct-91,0.32
01-Nov-91,0.31
01-Dec-91,0.33
01-Jan-92,0.45
01-Feb-92,0.42
01-Mar-92,0.47
01-Apr-92,0.24
01-May-92,0.32
01-Jun-92,0.24
01-Jul-92,0.13
01-Aug-92,0.1
01-Sep-92,0.01
01-Oct-92,0.11
01-Nov-92,0.04
01-Dec-92,0.22
01-Jan-93,0.37
01-Feb-93,0.39
01-Mar-93,0.36
01-Apr-93,0.28
01-May-93,0.26
01-Jun-93,0.23
01-Jul-93,0.28
01-Aug-93,0.13
01-Sep-93,0.11
01-Oct-93,0.23
01-Nov-93,0.07
01-Dec-93,0.19
01-Jan-94,0.3
01-Feb-94,0.04
01-Mar-94,0.26
01-Apr-94,0.41
01-May-94,0.29
01-Jun-94,0.42
01-Jul-94,0.32
01-Aug-94,0.23
01-Sep-94,0.32
01-Oct-94,0.42
01-Nov-94,0.46
01-Dec-94,0.36
01-Jan-95,0.5
01-Feb-95,0.77
01-Mar-95,0.44
01-Apr-95,0.47
01-May-95,0.28
01-Jun-95,0.44
01-Jul-95,0.49
01-Aug-95,0.48
01-Sep-95,0.34
01-Oct-95,0.49
01-Nov-95,0.45
01-Dec-95,0.29
01-Jan-96,0.27
01-Feb-96,0.5
01-Mar-96,0.33
01-Apr-96,0.38
01-May-96,0.29
01-Jun-96,0.26
01-Jul-96,0.36
01-Aug-96,0.49
01-Sep-96,0.27
01-Oct-96,0.2
01-Nov-96,0.42
01-Dec-96,0.41
01-Jan-97,0.33
01-Feb-97,0.37
01-Mar-97,0.52
01-Apr-97,0.38
01-May-97,0.39
01-Jun-97,0.55
01-Jul-97,0.35
01-Aug-97,0.42
01-Sep-97,0.56
01-Oct-97,0.64
01-Nov-97,0.66
01-Dec-97,0.6
01-Jan-98,0.61
01-Feb-98,0.89
01-Mar-98,0.63
01-Apr-98,0.64
01-May-98,0.71
01-Jun-98,0.78
01-Jul-98,0.71
01-Aug-98,0.68
01-Sep-98,0.45
01-Oct-98,0.47
01-Nov-98,0.5
01-Dec-98,0.56
01-Jan-99,0.48
01-Feb-99,0.66
01-Mar-99,0.34
01-Apr-99,0.33
01-May-99,0.33
01-Jun-99,0.37
01-Jul-99,0.4
01-Aug-99,0.34
01-Sep-99,0.43
01-Oct-99,0.43
01-Nov-99,0.42
01-Dec-99,0.46
01-Jan-00,0.26
01-Feb-00,0.58
01-Mar-00,0.6
01-Apr-00,0.59
01-May-00,0.4
01-Jun-00,0.43
01-Jul-00,0.42
01-Aug-00,0.43
01-Sep-00,0.42
01-Oct-00,0.3
01-Nov-00,0.34
01-Dec-00,0.3
01-Jan-01,0.44
01-Feb-01,0.45
01-Mar-01,0.57
01-Apr-01,0.52
01-May-01,0.59
01-Jun-01,0.54
01-Jul-01,0.61
01-Aug-01,0.48
01-Sep-01,0.56
01-Oct-01,0.51
01-Nov-01,0.7
01-Dec-01,0.55
01-Jan-02,0.75
01-Feb-02,0.76
01-Mar-02,0.91
01-Apr-02,0.58
01-May-02,0.65
01-Jun-02,0.54
01-Jul-02,0.62
01-Aug-02,0.55
01-Sep-02,0.65
01-Oct-02,0.57
01-Nov-02,0.59
01-Dec-02,0.43
01-Jan-03,0.73
01-Feb-03,0.55
01-Mar-03,0.57
01-Apr-03,0.55
01-May-03,0.62
01-Jun-03,0.49
01-Jul-03,0.55
01-Aug-03,0.66
01-Sep-03,0.66
01-Oct-03,0.76
01-Nov-03,0.55
01-Dec-03,0.75
01-Jan-04,0.59
01-Feb-04,0.71
01-Mar-04,0.65
01-Apr-04,0.62
01-May-04,0.42
01-Jun-04,0.43
01-Jul-04,0.26
01-Aug-04,0.45
01-Sep-04,0.54
01-Oct-04,0.66
01-Nov-04,0.72
01-Dec-04,0.53
01-Jan-05,0.73
01-Feb-05,0.59
01-Mar-05,0.69
01-Apr-05,0.69
01-May-05,0.65
01-Jun-05,0.67
01-Jul-05,0.65
01-Aug-05,0.63
01-Sep-05,0.78
01-Oct-05,0.8
01-Nov-05,0.75
01-Dec-05,0.68
01-Jan-06,0.58
01-Feb-06,0.7
01-Mar-06,0.63
01-Apr-06,0.51
01-May-06,0.47
01-Jun-06,0.65
01-Jul-06,0.55
01-Aug-06,0.72
01-Sep-06,0.65
01-Oct-06,0.69
01-Nov-06,0.73
01-Dec-06,0.77
01-Jan-07,0.96
01-Feb-07,0.71
01-Mar-07,0.7
01-Apr-07,0.76
01-May-07,0.67
01-Jun-07,0.59
01-Jul-07,0.63
01-Aug-07,0.6
01-Sep-07,0.64
01-Oct-07,0.6
01-Nov-07,0.57
01-Dec-07,0.5
01-Jan-08,0.25
01-Feb-08,0.37
01-Mar-08,0.73
01-Apr-08,0.54
01-May-08,0.51
01-Jun-08,0.48
01-Jul-08,0.61
01-Aug-08,0.45
01-Sep-08,0.65
01-Oct-08,0.67
01-Nov-08,0.67
01-Dec-08,0.55
01-Jan-09,0.62
01-Feb-09,0.53
01-Mar-09,0.53
01-Apr-09,0.61
01-May-09,0.65
01-Jun-09,0.66
01-Jul-09,0.71
01-Aug-09,0.67
01-Sep-09,0.7
01-Oct-09,0.66
01-Nov-09,0.78
01-Dec-09,0.65
01-Jan-10,0.73
01-Feb-10,0.79
01-Mar-10,0.92
01-Apr-10,0.87
01-May-10,0.75
01-Jun-10,0.64
01-Jul-10,0.62
01-Aug-10,0.65
01-Sep-10,0.61
01-Oct-10,0.71
01-Nov-10,0.8
01-Dec-10,0.49
01-Jan-11,0.51
01-Feb-11,0.54
01-Mar-11,0.65
01-Apr-11,0.65
01-May-11,0.53
01-Jun-11,0.59
01-Jul-11,0.74
01-Aug-11,0.73
01-Sep-11,0.57
01-Oct-11,0.67
01-Nov-11,0.57
01-Dec-11,0.55
01-Jan-12,0.47
01-Feb-12,0.5
01-Mar-12,0.58
01-Apr-12,0.69
01-May-12,0.77
01-Jun-12,0.62
01-Jul-12,0.57
01-Aug-12,0.63
01-Sep-12,0.76
01-Oct-12,0.78
01-Nov-12,0.75
01-Dec-12,0.54
01-Jan-13,0.68
01-Feb-13,0.56
01-Mar-13,0.66
01-Apr-13,0.53
01-May-13,0.61
01-Jun-13,0.66
01-Jul-13,0.59
01-Aug-13,0.66
01-Sep-13,0.78
01-Oct-13,0.69
01-Nov-13,0.81
01-Dec-13,0.67
01-Jan-14,0.74
01-Feb-14,0.52
01-Mar-14,0.78
01-Apr-14,0.79
01-May-14,0.87
01-Jun-14,0.66
01-Jul-14,0.58
01-Aug-14,0.82
01-Sep-14,0.9
01-Oct-14,0.86
01-Nov-14,0.68
01-Dec-14,0.8
01-Jan-15,0.82
01-Feb-15,0.87
01-Mar-15,0.91
01-Apr-15,0.75
01-May-15,0.78
01-Jun-15,0.78
01-Jul-15,0.72
01-Aug-15,0.79
01-Sep-15,0.82
01-Oct-15,1.07
01-Nov-15,1.03
01-Dec-15,1.11
01-Jan-16,1.16
01-Feb-16,1.34
01-Mar-16,1.3
01-Apr-16,1.09
01-May-16,0.93
01-Jun-16,0.75
01-Jul-16,0.84
01-Aug-16,0.97
01-Sep-16,0.91
